university,group_code,reason
天津中医药大学,207,无专业组映射
天津中医药大学,208,无专业组映射
天津中医药大学,210,无专业组映射
天津中医药大学,211,无专业组映射
天津中医药大学,206,无专业组映射
"教
天津中医药大学",209,无专业组映射
"教
天津中医药大学",205,无专业组映射
天津师范大学,218,无专业组映射
天津师范大学,220,无专业组映射
天津师范大学,221,无专业组映射
天津师范大学,222,无专业组映射
天津师范大学,224,无专业组映射
天津师范大学,225,无专业组映射
天津师范大学,226,无专业组映射
天津师范大学,216,无专业组映射
天津师范大学,217,无专业组映射
"省
天津师范大学",219,无专业组映射
"东
天津师范大学",223,无专业组映射
"广
天津职业技术师范大学",203,无专业组映射
天津职业技术师范大学,204,无专业组映射
天津外国语大学,206,无专业组映射
天津外国语大学,207,无专业组映射
天津外国语大学,208,无专业组映射
天津外国语大学,210,无专业组映射
天津外国语大学,202,无专业组映射
天津外国语大学,203,无专业组映射
天津外国语大学(中外合作办学),209,无专业组映射
天津外国语大学(中外合作办学),205,无专业组映射
天津商业大学,213,无专业组映射
天津商业大学,214,无专业组映射
天津商业大学,216,无专业组映射
天津商业大学,209,无专业组映射
天津商业大学,210,无专业组映射
天津商业大学(中外合作办学),215,无专业组映射
天津商业大学(中外合作办学),212,无专业组映射
天津财经大学,209,无专业组映射
天津财经大学,211,无专业组映射
天津财经大学,212,无专业组映射
天津财经大学,207,无专业组映射
天津财经大学(中外合作办学),210,无专业组映射
天津财经大学(中外合作办学),208,无专业组映射
天津体育学院,211,无专业组映射
天津体育学院,212,无专业组映射
天津体育学院,213,无专业组映射
天津体育学院,208,无专业组映射
天津体育学院,209,无专业组映射
天津体育学院,210,无专业组映射
河北工程大学,207,无专业组映射
河北工程大学,208,无专业组映射
河北工程大学,209,无专业组映射
河北工程大学,210,无专业组映射
河北工程大学,211,无专业组映射
河北地质大学,205,无专业组映射
河北地质大学,206,无专业组映射
河北地质大学,204,无专业组映射
华北水利水电大学,204,无专业组映射
华北水利水电大学,205,无专业组映射
华北水利水电大学(中外合作办学),206,无专业组映射
华北电力大学(保定),208,无专业组映射
华北电力大学(保定),206,无专业组映射
河北工业大学,205,无专业组映射
河北工业大学,206,无专业组映射
河北工业大学,207,无专业组映射
河北工业大学,208,无专业组映射
河北工业大学(联合培养),209,无专业组映射
河北工业大学(联合培养),210,无专业组映射
华北理工大学(联合培养),"育
215",无专业组映射
华北理工大学(联合培养),212,无专业组映射
华北理工大学,216,无专业组映射
华北理工大学,217,无专业组映射
华北理工大学,218,无专业组映射
华北理工大学,213,无专业组映射
华北理工大学,214,无专业组映射
"教
华北理工大学",219,无专业组映射
河北医科大学,206,无专业组映射
河北医科大学,207,无专业组映射
河北医科大学,208,无专业组映射
河北医科大学,205,无专业组映射
"省
河北北方学院",202,无专业组映射
河北北方学院,203,无专业组映射
河北北方学院,204,无专业组映射
承德医学院,202,无专业组映射
"东
河北师范大学",205,无专业组映射
河北师范大学,206,无专业组映射
河北师范大学,204,无专业组映射
衡水学院,213,无专业组映射
衡水学院,214,无专业组映射
衡水学院,212,无专业组映射
"广
衡水学院",215,无专业组映射
衡水学院(中外合作办学),216,无专业组映射
邯郸学院,204,无专业组映射
邢台学院,204,无专业组映射
邢台学院,203,无专业组映射
沧州师范学院,204,无专业组映射
沧州师范学院,203,无专业组映射
石家庄铁道大学,207,无专业组映射
石家庄铁道大学,208,无专业组映射
石家庄铁道大学,209,无专业组映射
石家庄铁道大学,210,无专业组映射
石家庄铁道大学,206,无专业组映射
山西大学,204,无专业组映射
山西大学,203,无专业组映射
太原科技大学,202,无专业组映射
中北大学,218,无专业组映射
中北大学,219,无专业组映射
中北大学,220,无专业组映射
中北大学,221,无专业组映射
中北大学,216,无专业组映射
太原理工大学,203,无专业组映射
山西农业大学,210,无专业组映射
山西农业大学,211,无专业组映射
山西农业大学,212,无专业组映射
山西农业大学,213,无专业组映射
山西农业大学,214,无专业组映射
山西农业大学,209,无专业组映射
山西医科大学,207,无专业组映射
山西医科大学,208,无专业组映射
山西医科大学,209,无专业组映射
山西医科大学,210,无专业组映射
山西医科大学,206,无专业组映射
长治医学院,203,无专业组映射
长治医学院,204,无专业组映射
山西师范大学,210,无专业组映射
山西师范大学,212,无专业组映射
山西师范大学,209,无专业组映射
山西大同大学,205,无专业组映射
山西大同大学,204,无专业组映射
忻州师范学院,204,无专业组映射
忻州师范学院,205,无专业组映射
山西财经大学,205,无专业组映射
山西财经大学,206,无专业组映射
山西财经大学,204,无专业组映射
内蒙古大学,217,无专业组映射
内蒙古大学,"育
218",无专业组映射
内蒙古大学,219,无专业组映射
内蒙古大学,220,无专业组映射
内蒙古大学,221,无专业组映射
内蒙古大学,212,无专业组映射
内蒙古大学,213,无专业组映射
内蒙古大学,214,无专业组映射
