university_name,group_code,sample_major_name,suggested_majors,in_simple,auto_filled
"教
西南石油大学",213,专业组213,,NO,NO
"省
成都理工大学",215,专业组215,,NO,NO
成都理工大学(中外合作办学),216,专业组216,,NO,NO
"东
重庆交通大学",206,专业组206,,NO,NO
"广
成都信息工程大学",206,专业组206,,NO,NO
成都信息工程大学(联合培养),211,专业组211,,NO,NO
西华大学(本科预科班),207,专业组207,,NO,NO
成都中医药大学(中外合作办学),209,专业组209,,NO,NO
西南大学(中外合作办学),228,专业组228,,NO,NO
四川师范大学(联合培养),203,专业组203,,NO,NO
四川师范大学(联合培养),204,专业组204,,NO,NO
长江师范学院,"育
206","专业组育
206",,NO,NO
四川外国语大学(中外合作办学),212,专业组212,,NO,NO
"教
四川外国语大学",213,专业组213,,NO,NO
四川外国语大学(中外合作办学),214,专业组214,,NO,NO
"省
西南财经大学(中外合作办学)",208,专业组208,,NO,NO
"东
四川音乐学院(联合培养)",209,专业组209,,NO,NO
四川音乐学院(联合培养),225,专业组225,,NO,NO
"广
四川音乐学院",226,专业组226,,NO,NO
贵州师范大学(学分互认),211,专业组211,,NO,NO
云南财经大学(中外合作办学),"育
208","专业组育
208",,NO,NO
云南财经大学(中外合作办学),214,专业组214,,NO,NO
"教
云南民族大学",204,专业组204,,NO,NO
"省
西藏大学",217,专业组217,,NO,NO
"东
西藏大学",220,专业组220,,NO,NO
"广
西北工业大学",205,专业组205,,NO,NO
陇东学院,"育
206","专业组育
206",,NO,NO
"教
兰州财经大学",206,专业组206,,NO,NO
兰州财经大学(联合培养),211,专业组211,,NO,NO
兰州财经大学(联合培养),213,专业组213,,NO,NO
"省
西北民族大学",207,专业组207,,NO,NO
"东
青海大学",207,专业组207,,NO,NO
"广
宁夏大学",205,专业组205,,NO,NO
天津城建大学(中外合作办学),213,专业组213,,NO,NO
天津城建大学(中外合作办学),214,专业组214,,NO,NO
广东白云学院,"育
218","专业组育
218",,NO,NO
"教
广东白云学院",222,专业组222,,NO,NO
广东白云学院(国际班-联合培养),225,专业组225,,NO,NO
"省
广东白云学院",226,专业组226,,NO,NO
广东白云学院(联合培养),227,专业组227,,NO,NO
"东
江西科技学院",205,专业组205,,NO,NO
"广
浙江万里学院",205,专业组205,,NO,NO
浙江万里学院(中外合作办学),206,专业组206,,NO,NO
吉林外国语大学(中外合作办学),215,专业组215,,NO,NO
烟台大学(联合培养),209,专业组209,,NO,NO
烟台大学(本科预科班),211,专业组211,,NO,NO
广州大学,"育
221","专业组育
221",,YES,YES
"教
广州大学",225,专业组225,,NO,NO
广州大学(国际班),236,专业组236,,NO,NO
"省
广州大学(国际班)",237,专业组237,,NO,NO
广州大学(中外合作办学),239,专业组239,,NO,NO
广州大学(地方专项),246,专业组246,,NO,NO
"东
广州大学(地方专项)",247,专业组247,,NO,NO
